name,url,tier,source_kind,scope,access_method,frequency,trust_level,site_query_host,notes
中央企业招聘应届高校毕业生信息公开,https://job.mohrss.gov.cn/qyzp/index.jhtml,S,government,全国央企应届招聘,site_search,daily,95,job.mohrss.gov.cn,央企应届招聘核心来源
国务院国资委招聘栏目,https://wap.sasac.gov.cn/n2588035/n2588325/n2588350/index.html,S,government,央企集团招聘公告,site_search,daily,92,sasac.gov.cn,央企招聘公告入口
国聘,https://www.iguopin.com/,S,public_platform,央国企招聘聚合,site_search,daily,88,iguopin.com,央国企招聘聚合平台
国聘校园招聘,https://xiaoyuan.iguopin.com/,S,public_platform,央国企校园招聘,site_search,daily,90,xiaoyuan.iguopin.com,校园招聘专题
国资央企招聘平台,https://cujiuye.iguopin.com/,S,public_platform,国资央企招聘,site_search,daily,90,cujiuye.iguopin.com,国资央企促就业平台
青岛政务网就业招聘栏目,https://www.qingdao.gov.cn/zfwf/zdlyzl/jiuyefw/jyaz/jyzp/,S,government,青岛就业招聘,site_search,daily,90,qingdao.gov.cn,青岛本地就业招聘和国有企业岗位
青岛市人社局人事人才,https://hrss.qingdao.gov.cn/zq_47/rsrc_47/,S,government,青岛人社人才招聘,site_search,daily,88,hrss.qingdao.gov.cn,青岛本地人社人才信息
青岛人才网,https://rc.qingdao.gov.cn/,S,government,青岛人才服务,site_search,daily,88,rc.qingdao.gov.cn,青岛人才服务与招聘活动
即墨政务网国企招聘,https://www.jimo.gov.cn/zwzt/jycy/zpxx/yqzp/,A,government,即墨区国企招聘,site_search,daily,84,jimo.gov.cn,区属国企招聘
西海岸新区人才服务,https://www.xihaian.gov.cn/zwgk/gknr/zdly/shgy/jycy/rcfw/,A,government,西海岸人才招聘,site_search,daily,84,xihaian.gov.cn,功能区人才和就业
高校人才网青岛国企,https://www.gaoxiaojob.com/rczhaopin/qingdao/guoqi_benke,A,aggregator,青岛国企聚合,site_search,daily,66,gaoxiaojob.com,聚合线索需二次核验
高校人才网国企栏目,https://www.gaoxiaojob.com/column/260.html,A,aggregator,全国国企招聘聚合,site_search,daily,64,gaoxiaojob.com,聚合线索需二次核验
编制啦青岛国企,https://www.bianzhia.com/zt/gqqingdao/,A,aggregator,青岛国企聚合,site_search,daily,60,bianzhia.com,聚合线索需二次核验
应届生求职网青岛频道,https://www.yingjiesheng.com/qingdaojob/index.html,A,aggregator,青岛应届生招聘,site_search,daily,62,yingjiesheng.com,聚合线索需二次核验
中国海洋大学就业网,https://career.ouc.edu.cn/,A,campus,高校就业网,site_search,daily,74,career.ouc.edu.cn,宣讲会和公告转载
中国石油大学华东就业网,https://career.upc.edu.cn/,A,campus,高校就业网,site_search,daily,74,career.upc.edu.cn,宣讲会和公告转载
山东大学就业网,https://job.sdu.edu.cn/,A,campus,高校就业网,site_search,daily,74,job.sdu.edu.cn,宣讲会和公告转载
青岛大学就业网,https://job.qdu.edu.cn/,A,campus,高校就业网,site_search,daily,72,job.qdu.edu.cn,宣讲会和公告转载
山东科技大学就业网,https://jy.sdust.edu.cn/,B,campus,高校就业网,site_search,daily,70,jy.sdust.edu.cn,宣讲会和公告转载
青岛科技大学就业网,https://job.qust.edu.cn/,B,campus,高校就业网,site_search,daily,70,job.qust.edu.cn,宣讲会和公告转载
青岛理工大学就业网,https://jy.qut.edu.cn/,B,campus,高校就业网,site_search,daily,70,jy.qut.edu.cn,宣讲会和公告转载
国家电网招聘平台,https://zhaopin.sgcc.com.cn/sgcchr/static/home.html,S,ats,央企招聘系统,site_search,daily,90,zhaopin.sgcc.com.cn,招聘入口和公告
中国移动招聘,https://job.10086.cn/,S,ats,央企招聘系统,site_search,daily,88,job.10086.cn,招聘入口和公告
中国电信招聘,https://job.chinatelecom.com.cn/wt/TELE/web/index,S,ats,央企招聘系统,site_search,daily,88,job.chinatelecom.com.cn,招聘入口和公告
中国铁塔招聘,https://zhaopin.chinatowercom.cn/,S,ats,央企招聘系统,site_search,daily,86,zhaopin.chinatowercom.cn,招聘入口和公告
