company_key,source_row,group_name,company_name,normalized_name,entity_type,region,priority_raw,priority,difficulty,education_barrier,recommended_directions,action_status,source_urls,url_count,url_notes,enabled
9b22c7887fa4,2,中国中检,中国检验认证集团山东有限公司,中国检验认证集团山东有限公司,省公司/总部在青岛；央企区域公司,市南区；山东/青岛相关,P0 必看,P0,A 较难,中卡：本科起，硕士加分,检验检测、认证合规、信息安全、职能；认证、检测、信息化服务、AEO咨询、数字化与信息安全服务；关键词：检验检测、认证合规、信息安全、职能；认证、检测、数字化、信息安全、AEO,优先投递｜投递前核股权｜价值:S,"https://sd.ccic.com/
https://www.yunzhirencai.com/wap/index.php?a=show&c=article&id=8841",2,官网优先；需在投递或启用监控前复核入口有效性,true
bf9a83b01fcb,3,中国中检,中检山东检测有限公司,中检山东检测有限公司,检测公司,胶州市,P1 优先,P1,A 较难,中卡：本科起，硕士加分,食品农产品检测、工业品检测、信息化,重点跟踪｜投递前核股权｜价值:A,https://sd.ccic.com/,1,官网优先；需在投递或启用监控前复核入口有效性,true
7fc3a264c7de,4,中国中检,青岛检验认证有限公司,青岛检验认证有限公司,检测认证公司,市南区,P1 优先,P1,A 较难,中卡：本科起，硕士加分,认证、合规、体系管理、信息化,重点跟踪｜投递前核股权｜价值:A,https://sd.ccic.com/,1,官网优先；需在投递或启用监控前复核入口有效性,true
9139eebac133,5,中国中检,黄岛检验认证有限公司,黄岛检验认证有限公司,检测认证公司,黄岛/自贸片区,P1 优先,P1,B 中等,弱中卡：本科起，专业匹配,检验认证、口岸服务、综合管理,重点跟踪｜投递前核股权｜价值:A,https://sd.ccic.com/,1,官网优先；需在投递或启用监控前复核入口有效性,true
79b220f52ce0,6,中国中检,青岛中检纺织品检验有限公司,青岛中检纺织品检验有限公司,检测公司,李沧区,P2 可投/跟踪,P2,B 中等,弱中卡：本科起，专业匹配,纺织品检测、质量管理、综合管理,可投/跟踪｜投递前核股权｜价值:B,https://sd.ccic.com/,1,官网优先；需在投递或启用监控前复核入口有效性,false
0eb862b553ce,7,中国中检,中国检验认证集团山东检测有限公司,中国检验认证集团山东检测有限公司,检测子公司,山东/青岛待核,P3 低优先,P3,A 较难,中卡：本科起，硕士加分,工业品检测、食品检测、实验室信息化；关键词：检测、实验室、质量管理、信息化,低频查看｜投递前核股权｜价值:B,"https://www.ccicsd.com/
https://sd.ccic.com/",2,官网优先；需在投递或启用监控前复核入口有效性,false
e796312c9c43,8,中国中检,山东中检校准技术有限公司,山东中检校准技术有限公司,计量校准公司,市南区,P3 低优先,P3,B 中等,弱中卡：本科起，专业匹配,计量校准、质量体系、综合管理,低频查看｜投递前核股权｜价值:B,https://sd.ccic.com/,1,官网优先；需在投递或启用监控前复核入口有效性,false
6bd88b5e6203,9,中国中车,中车青岛四方车辆研究所有限公司,中车青岛四方车辆研究所有限公司,中车轨交关键系统研发企业,市北区/青岛,P0 必看,P0,A 较难,强卡：硕士/双一流倾向,轨交核心系统、软件、算法、网络研发、信号系统；关键词：软件研发、算法、网络研发、信号、智能装备,优先投递｜价值:S,"https://www.crrcgc.cc/sfs/142_8690/142_8700/index.html
https://crrc-sfs.hotjob.cn/",2,官网优先；需在投递或启用监控前复核入口有效性,true
81778d3a8cc4,10,中国中车,中车制动系统有限公司/中车四方所制动业务,中车制动系统有限公司中车四方所制动业务,制动系统专业公司/业务线索,青岛待核,P2 可投/跟踪,P2,A 较难,强卡：硕士/双一流倾向,轨交制动系统、控制软件、测试、运维；关键词：控制软件、测试、智能运行、嵌入式,可投/跟踪｜投递前核股权｜价值:A,https://crrc-sfs.hotjob.cn/,1,官网优先；需在投递或启用监控前复核入口有效性,false
0f9756caa349,11,中国中车,中车青岛四方机车车辆股份有限公司,中车青岛四方机车车辆股份有限公司,中车核心制造企业,城阳区,P2 可投/跟踪,P2,A 较难,中卡：本科起，硕士加分,高速动车组、智能制造、诊断工程、信息化；关键词：智能制造、诊断工程、信息化、数据,可投/跟踪｜价值:A,"https://www.crrcgc.cc/sfgf/
https://crrc-sfgf.hotjob.cn/",2,官网优先；需在投递或启用监控前复核入口有效性,false
4e2afe064660,12,中国信科,宸芯科技股份有限公司,宸芯科技股份有限公司,通信芯片/科技公司,青岛,P0 必看,P0,A 较难,中卡：本科起，硕士加分,通信芯片、研发、信息化、综合管理,优先投递｜投递前核股权｜价值:S,https://www.morningcore.com/,1,官网优先；需在投递或启用监控前复核入口有效性,true
831520e4c218,13,中国国家铁路集团/济南局,中国铁路济南局集团有限公司,中国铁路济南局集团有限公司,国铁集团子公司/铁路局集团,山东/青岛相关,P0 必看,P0,A 较难,中卡：本科起，硕士加分,铁路信息化、通信信号、运营管理、综合管理,优先投递｜价值:S,"https://rczp.china-railway.com.cn/page/platform/company_index.html?parentId=378
https://rczp.china-railway.com.cn/",2,官网优先；需在投递或启用监控前复核入口有效性,true
72dab4a1c719,14,中国国家铁路集团/济南局,中国铁路济南局集团有限公司青岛机务段,中国铁路济南局集团有限公司青岛机务段,机务段/分支机构,青岛,P0 必看,P0,A 较难,中卡：本科起，硕士加分,信息化、机务检修、设备管理、生产经营,优先投递｜价值:S,"https://sd.lgwy.net/upload/default/20260523/c0777899a25df1440d9f1eefeb1da302.pdf
https://rczp.china-railway.com.cn/",2,官网优先；需在投递或启用监控前复核入口有效性,true
15e56b69e501,15,中国国家铁路集团/济南局,中国铁路济南局集团有限公司青岛动车段,中国铁路济南局集团有限公司青岛动车段,动车段/分支机构,市北区,P1 优先,P1,A 较难,中卡：本科起，硕士加分,动车检修、设备管理、信息化、综合管理,重点跟踪｜价值:A,"https://rczp.china-railway.com.cn/
https://www.qcc.com/firm/fc02a110feb41cd49be684f4bb001a88.html",2,官网优先；需在投递或启用监控前复核入口有效性,true
9063954ed8dd,16,中国国家铁路集团/济南局,中国铁路济南局集团有限公司青岛电务段,中国铁路济南局集团有限公司青岛电务段,电务段/分支机构,青岛,P1 优先,P1,A 较难,中卡：本科起，硕士加分,通信信号、网络/信息系统、设备运维、安全管理,重点跟踪｜价值:A,"https://rczp.china-railway.com.cn/
https://railway.fandom.com/zh/wiki/%E6%B5%8E%E5%8D%97%E9%93%81%E8%B7%AF%E5%B1%80",2,官网优先；需在投递或启用监控前复核入口有效性,true
626a89ca231e,17,中国国家铁路集团/济南局,中国铁路济南局集团有限公司青岛站,中国铁路济南局集团有限公司青岛站,直属站/分支机构,市南区/青岛站,P1 优先,P1,A 较难,中卡：本科起，硕士加分,客运组织、车务、综合管理、信息化支持,重点跟踪｜价值:A,"https://rczp.china-railway.com.cn/
https://imgbdb4.bendibao.com/wfbdb/job/202511/17/20251117104103_23046.pdf",2,官网优先；需在投递或启用监控前复核入口有效性,true
